purchase_history,product_preferences,brand_affinity,payment_methods,channel_preferences,shopping_frequency,average_purchase_value,returned_items_frequency,loyalty_program_enrollment,promotional_sensitivity,wishlist_activity,cart_abandonment_rate,event_participation,content_engagement_level,advertisement_response_rate
Occasional,Books,High,Credit Card,Offline,Occasionally,>$500,High,No,Low,Inactive,High,Frequent,Moderate,Low
Rare,Home Decor,Moderate,Debit Card,Online,Occasionally,$100-$500,Low,Yes,Moderate,Active,Low,Occasional,Moderate,Low
Rare,Groceries,High,Debit Card,Both,Monthly,$50-$100,High,No,Moderate,Inactive,Low,Never,Low,Moderate
Rare,Clothing,High,Digital Wallet,Offline,Weekly,>$500,Low,Yes,Low,Inactive,Moderate,Occasional,Low,Moderate
Frequent,Books,Moderate,Credit Card,Offline,Weekly,$50-$100,Moderate,No,Moderate,Active,Moderate,Never,Low,Moderate
Occasional,Electronics,Low,Credit Card,Both,Weekly,$50-$100,High,Yes,High,Inactive,Moderate,Frequent,Low,Moderate
Frequent,Electronics,Moderate,Debit Card,Offline,Occasionally,<$50,High,No,Moderate,Inactive,Moderate,Occasional,Moderate,Low
Occasional,Electronics,Moderate,Debit Card,Both,Monthly,>$500,Moderate,Yes,Moderate,Active,High,Never,Moderate,Low
Frequent,Clothing,Low,Credit Card,Online,Monthly,$50-$100,Moderate,No,Moderate,Active,Low,Never,Low,Moderate
Occasional,Books,Low,Cash,Offline,Daily,<$50,Low,No,High,Active,Moderate,Occasional,Moderate,Low
Rare,Home Decor,Moderate,Cash,Offline,Monthly,>$500,Low,No,Low,Active,Low,Never,Low,Low
Rare,Groceries,Moderate,Digital Wallet,Both,Monthly,$100-$500,Low,No,High,Active,Low,Frequent,Moderate,High
Occasional,Groceries,Moderate,Debit Card,Offline,Occasionally,$50-$100,Moderate,No,Moderate,Inactive,High,Never,Low,High
Rare,Home Decor,High,Digital Wallet,Offline,Occasionally,$50-$100,Moderate,Yes,Moderate,Inactive,Low,Occasional,Low,High
Frequent,Home Decor,Moderate,Credit Card,Offline,Occasionally,<$50,High,No,Moderate,Inactive,High,Never,Low,Moderate
Rare,Books,Low,Cash,Online,Weekly,<$50,Low,Yes,High,Inactive,High,Never,Low,High
Rare,Groceries,Moderate,Debit Card,Offline,Monthly,$100-$500,Low,Yes,Moderate,Inactive,High,Frequent,High,High
Occasional,Groceries,Low,Debit Card,Online,Occasionally,>$500,High,No,Low,Inactive,Moderate,Never,Moderate,High
Rare,Groceries,Low,Cash,Offline,Monthly,>$500,Moderate,Yes,High,Active,Moderate,Frequent,High,Moderate
Occasional,Books,Moderate,Debit Card,Both,Weekly,>$500,Moderate,No,Moderate,Active,Moderate,Never,High,Moderate
Rare,Clothing,High,Credit Card,Offline,Daily,>$500,Moderate,No,High,Active,High,Frequent,High,Low
Frequent,Books,High,Debit Card,Online,Weekly,<$50,Moderate,Yes,Low,Inactive,Low,Never,Moderate,High
Frequent,Home Decor,Low,Cash,Both,Daily,<$50,Low,No,Low,Active,High,Frequent,Moderate,Moderate
Occasional,Books,Low,Credit Card,Both,Occasionally,$50-$100,Moderate,Yes,High,Active,High,Frequent,Low,Low
Occasional,Electronics,Low,Digital Wallet,Online,Occasionally,$100-$500,Moderate,No,Moderate,Inactive,High,Frequent,Moderate,High
Rare,Home Decor,Low,Credit Card,Offline,Monthly,$50-$100,Moderate,No,Low,Inactive,Low,Occasional,Low,Moderate
Rare,Electronics,Moderate,Cash,Both,Daily,<$50,Moderate,No,Low,Active,Low,Frequent,Moderate,Moderate
Rare,Home Decor,Moderate,Cash,Both,Monthly,$50-$100,Low,No,Moderate,Active,Low,Never,High,High
Rare,Home Decor,High,Digital Wallet,Both,Occasionally,$100-$500,Moderate,Yes,Moderate,Active,Low,Never,High,Low
Frequent,Books,High,Credit Card,Offline,Weekly,<$50,Low,No,Low,Active,High,Occasional,High,High
Rare,Clothing,Moderate,Cash,Offline,Daily,$100-$500,High,No,Low,Inactive,Moderate,Frequent,Low,Moderate
Frequent,Clothing,Low,Credit Card,Online,Monthly,$100-$500,Moderate,Yes,Low,Inactive,Low,Frequent,Moderate,High
Rare,Home Decor,Moderate,Digital Wallet,Both,Occasionally,$100-$500,Low,No,High,Active,Moderate,Frequent,Low,High
Frequent,Electronics,High,Digital Wallet,Offline,Daily,>$500,High,No,Low,Active,Moderate,Never,Moderate,Moderate
Frequent,Books,Moderate,Cash,Online,Weekly,<$50,Low,Yes,Moderate,Inactive,High,Never,High,High
Frequent,Groceries,High,Cash,Both,Monthly,<$50,Low,No,Low,Active,High,Never,Moderate,Low
Rare,Electronics,High,Credit Card,Offline,Monthly,<$50,Moderate,Yes,Moderate,Active,Moderate,Never,Moderate,Moderate
Rare,Clothing,Low,Cash,Both,Daily,$50-$100,Moderate,No,Moderate,Inactive,Low,Frequent,Low,Moderate
Frequent,Groceries,Low,Digital Wallet,Both,Monthly,<$50,High,Yes,Moderate,Active,Low,Never,Low,Moderate
Occasional,Books,Moderate,Digital Wallet,Both,Occasionally,>$500,Moderate,No,High,Inactive,High,Frequent,High,Low
Occasional,Groceries,High,Digital Wallet,Both,Weekly,$50-$100,High,No,Moderate,Inactive,High,Frequent,Moderate,High
Occasional,Clothing,Moderate,Digital Wallet,Offline,Daily,>$500,High,No,Low,Active,Low,Occasional,High,Low
Frequent,Books,High,Debit Card,Online,Weekly,<$50,Low,Yes,Moderate,Inactive,Moderate,Frequent,Low,Low
Frequent,Groceries,High,Debit Card,Both,Occasionally,$50-$100,Low,No,Moderate,Active,High,Never,Low,Low
Occasional,Clothing,Low,Digital Wallet,Both,Daily,>$500,Moderate,Yes,Moderate,Inactive,Low,Occasional,Low,High
Frequent,Clothing,Moderate,Digital Wallet,Online,Monthly,>$500,High,Yes,Moderate,Active,Moderate,Frequent,Moderate,Moderate
Occasional,Electronics,Low,Debit Card,Both,Monthly,>$500,Low,Yes,High,Active,High,Frequent,Moderate,Low
Frequent,Groceries,Moderate,Digital Wallet,Online,Daily,<$50,Low,No,Low,Inactive,High,Never,Low,Moderate
Rare,Home Decor,Low,Cash,Offline,Weekly,$100-$500,Low,No,Moderate,Active,Moderate,Frequent,Low,Moderate
Rare,Electronics,Moderate,Debit Card,Offline,Monthly,$100-$500,Low,Yes,High,Inactive,Moderate,Frequent,High,Moderate
Frequent,Groceries,High,Credit Card,Offline,Weekly,>$500,Moderate,Yes,High,Active,Moderate,Frequent,Low,Low
Frequent,Books,Moderate,Credit Card,Online,Monthly,>$500,Moderate,No,Moderate,Active,Moderate,Frequent,High,High
Occasional,Clothing,Moderate,Debit Card,Offline,Monthly,$100-$500,High,No,Low,Inactive,High,Frequent,High,High
Frequent,Clothing,High,Debit Card,Offline,Weekly,$50-$100,Low,No,High,Inactive,Low,Occasional,Moderate,Moderate
Occasional,Clothing,Low,Digital Wallet,Offline,Weekly,$100-$500,Low,No,Moderate,Active,Moderate,Occasional,High,Low
Frequent,Home Decor,Low,Credit Card,Offline,Weekly,$50-$100,High,Yes,High,Inactive,Moderate,Never,Low,Low
Occasional,Clothing,Low,Credit Card,Online,Daily,>$500,Low,Yes,Low,Inactive,Moderate,Frequent,Moderate,Low
Rare,Books,Moderate,Debit Card,Both,Occasionally,$50-$100,Low,No,Moderate,Inactive,High,Frequent,High,High
Occasional,Electronics,Low,Debit Card,Both,Monthly,$50-$100,Moderate,No,Low,Active,Low,Frequent,Moderate,Moderate
Frequent,Home Decor,High,Credit Card,Both,Weekly,<$50,Moderate,Yes,Low,Inactive,Moderate,Occasional,Moderate,Low
Frequent,Home Decor,High,Credit Card,Both,Occasionally,$50-$100,Low,No,Low,Inactive,Low,Frequent,Low,Moderate
Occasional,Books,Low,Debit Card,Offline,Monthly,>$500,High,No,High,Inactive,Moderate,Occasional,Low,Moderate
Rare,Electronics,Moderate,Cash,Offline,Occasionally,>$500,Moderate,No,Moderate,Active,Moderate,Never,Low,High
Occasional,Groceries,High,Debit Card,Offline,Monthly,$100-$500,Moderate,No,Moderate,Active,Moderate,Occasional,Moderate,Moderate
Rare,Clothing,Low,Digital Wallet,Both,Daily,>$500,Moderate,No,Low,Active,Moderate,Occasional,Low,Moderate
Frequent,Books,Low,Digital Wallet,Offline,Monthly,$50-$100,Moderate,Yes,Low,Inactive,Low,Never,High,High
Frequent,Groceries,Low,Cash,Both,Weekly,$100-$500,Moderate,No,Moderate,Inactive,High,Frequent,Low,High
Frequent,Books,Low,Debit Card,Both,Occasionally,>$500,Low,No,Low,Inactive,Low,Never,Low,Moderate
Rare,Clothing,High,Cash,Both,Monthly,<$50,High,Yes,Low,Active,Moderate,Frequent,Low,Low
Frequent,Home Decor,Low,Cash,Offline,Daily,$100-$500,Low,No,High,Inactive,Low,Frequent,Moderate,High
Occasional,Groceries,Low,Cash,Offline,Occasionally,<$50,Moderate,No,Low,Inactive,High,Never,Low,Moderate
Occasional,Groceries,Moderate,Debit Card,Offline,Weekly,$100-$500,Low,Yes,High,Inactive,Moderate,Occasional,High,Low
Occasional,Clothing,Low,Digital Wallet,Offline,Monthly,$50-$100,Moderate,No,Moderate,Inactive,Moderate,Frequent,Low,Low
Occasional,Groceries,Moderate,Credit Card,Online,Daily,<$50,Low,No,Moderate,Active,High,Frequent,Low,High
Frequent,Books,Low,Credit Card,Both,Weekly,>$500,High,Yes,Low,Inactive,Low,Never,High,High
Frequent,Clothing,Moderate,Debit Card,Online,Occasionally,$100-$500,High,No,High,Active,Moderate,Never,Moderate,High
Occasional,Books,Low,Cash,Online,Weekly,>$500,Low,Yes,Low,Inactive,High,Never,Low,Low
Rare,Clothing,High,Cash,Offline,Weekly,$50-$100,Low,No,High,Inactive,High,Never,High,Low
Frequent,Groceries,Moderate,Credit Card,Offline,Daily,$100-$500,High,No,Low,Active,Low,Occasional,High,Moderate
Occasional,Books,Moderate,Debit Card,Offline,Monthly,$50-$100,High,Yes,Low,Inactive,High,Frequent,Low,Moderate
Rare,Books,Low,Debit Card,Both,Daily,$50-$100,Moderate,No,High,Inactive,High,Occasional,High,Low
Rare,Clothing,Low,Credit Card,Both,Monthly,<$50,Moderate,No,Low,Active,High,Occasional,Low,High
Frequent,Home Decor,High,Digital Wallet,Offline,Monthly,$50-$100,Low,No,High,Inactive,High,Occasional,High,Low
Occasional,Clothing,Low,Digital Wallet,Online,Monthly,>$500,Low,Yes,Low,Inactive,High,Frequent,High,High
Occasional,Groceries,Moderate,Credit Card,Both,Weekly,$100-$500,Low,No,Moderate,Inactive,High,Frequent,High,Low
Frequent,Electronics,Moderate,Cash,Both,Daily,$100-$500,Moderate,Yes,Low,Active,Low,Never,Low,High
Frequent,Groceries,Moderate,Debit Card,Online,Daily,$100-$500,Moderate,No,Moderate,Inactive,Low,Frequent,Low,Low
Occasional,Home Decor,Moderate,Debit Card,Online,Daily,$50-$100,Moderate,Yes,Moderate,Active,High,Frequent,High,Low
Occasional,Books,High,Digital Wallet,Online,Monthly,<$50,Low,No,Moderate,Inactive,Low,Never,Moderate,High
Occasional,Groceries,Low,Digital Wallet,Offline,Weekly,<$50,Low,Yes,Low,Inactive,Moderate,Occasional,Low,Low
Occasional,Home Decor,Low,Cash,Offline,Occasionally,$50-$100,Low,Yes,High,Inactive,Moderate,Frequent,High,High
Occasional,Clothing,Low,Credit Card,Both,Monthly,>$500,Moderate,No,High,Active,High,Frequent,Moderate,Moderate
Occasional,Electronics,Low,Cash,Offline,Daily,$50-$100,Moderate,No,Low,Inactive,High,Never,Low,High
Occasional,Clothing,Moderate,Digital Wallet,Online,Weekly,$100-$500,Moderate,Yes,Low,Active,Moderate,Never,Low,Moderate
