internet_usage_frequency,device_preferences,social_media_platforms,website_types_visited,app_usage_patterns,e-commerce_activity,digital_payment_usage,online_content_creation,newsletter_subscription,online_forum_participation,privacy_settings_used,online_reviews_activity,live_streaming_engagement,online_spending_trends,digital_communication_channels
Weekly,Desktop,Twitter,Social,Moderate,Moderate,Frequent,Moderate,Yes,Occasional,Low,Occasional,Occasional,>$500,Email
Daily,Laptop,Facebook,News,Rare,Low,Frequent,Frequent,No,Active,Low,Occasional,Rare,>$500,Email
Daily,Laptop,Facebook,E-commerce,Rare,Moderate,Frequent,Moderate,Yes,Active,Moderate,Occasional,Rare,<$50,Email
Weekly,Smartphone,Twitter,Entertainment,Frequent,High,Rare,Moderate,Yes,Occasional,Moderate,Frequent,Rare,$200-$500,Video Calls
Occasionally,Desktop,Instagram,Educational,Rare,Low,Occasional,None,No,None,Low,Rare,Frequent,$200-$500,Messaging Apps
Occasionally,Smartphone,Instagram,E-commerce,Rare,Low,Occasional,Moderate,No,Active,Low,Occasional,Rare,$200-$500,Messaging Apps
Occasionally,Desktop,LinkedIn,Social,Frequent,Low,Occasional,Moderate,Yes,Occasional,Moderate,Frequent,Occasional,<$50,Messaging Apps
Daily,Smartphone,Instagram,Social,Frequent,High,Occasional,Moderate,No,Occasional,Moderate,Occasional,Occasional,$50-$200,Email
Occasionally,Smartphone,Twitter,E-commerce,Moderate,High,Rare,Frequent,Yes,Occasional,Moderate,Occasional,Occasional,<$50,Social Media
Occasionally,Laptop,Instagram,Social,Rare,High,Rare,None,No,Active,High,Occasional,Rare,<$50,Social Media
Daily,Tablet,Twitter,News,Frequent,High,Frequent,Moderate,Yes,Active,High,Occasional,Rare,$200-$500,Social Media
Weekly,Laptop,Twitter,E-commerce,Frequent,Moderate,Rare,None,Yes,Occasional,High,Rare,Rare,$200-$500,Social Media
Weekly,Tablet,Facebook,Social,Moderate,High,Occasional,Moderate,Yes,Active,Low,Frequent,Occasional,<$50,Email
Daily,Laptop,Facebook,Educational,Moderate,Low,Rare,Moderate,Yes,Active,Low,Rare,Rare,$50-$200,Social Media
Weekly,Smartphone,Instagram,Educational,Rare,Low,Frequent,None,Yes,Occasional,Moderate,Rare,Occasional,>$500,Email
Occasionally,Desktop,Instagram,News,Rare,High,Frequent,Frequent,No,Occasional,Low,Frequent,Occasional,$200-$500,Video Calls
